interaction_id,user_id,problem_id,session_id,timestamp,time_of_day,day_of_week,days_since_last_session,grade_level,study_hours_per_week,previous_math_score,tutoring_received,learning_style,device_type,topic,difficulty_level,problem_length_words,equation_count,attempt_number,hint_used,response_time_seconds,user_accuracy,confidence_rating,solver_success,user_feedback_rating
INT_0346,USR_041,PROB_182,SES_0544,2024-09-25 04:16:07,night,Wednesday,-10,6,7,93,no,kinesthetic,desktop,Ratios,2,287,2,4,yes,409,1,5,1,3
INT_0347,USR_095,PROB_126,SES_0783,2024-08-20 17:54:59,evening,Tuesday,78,11,12,36,yes,visual,mobile,Probability,1,59,2,1,no,165,0,4,1,5
INT_0348,USR_072,PROB_125,SES_0469,2024-10-03 03:54:46,night,Thursday,-53,6,10,41,yes,kinesthetic,mobile,Probability,3,241,2,1,no,299,1,4,1,5
INT_0349,USR_054,PROB_020,SES_0253,2024-10-03 21:06:56,night,Thursday,-6,6,9,45,no,visual,tablet,Probability,3,57,1,4,no,148,0,5,1,
INT_0350,USR_006,PROB_168,SES_0638,2024-09-27 10:46:46,morning,Friday,55,7,8,36,no,kinesthetic,tablet,Algebra,4,240,1,5,yes,358,0,1,1,1
INT_0351,USR_027,PROB_042,SES_0398,2024-09-21 09:41:48,morning,Saturday,77,7,6,68,no,reading/writing,desktop,Mensuration,2,281,3,1,no,395,1,4,1,4
INT_0352,USR_073,PROB_154,SES_0434,2024-08-12 13:51:23,afternoon,Monday,67,7,11,84,yes,kinesthetic,tablet,Arithmetic,2,215,3,1,no,154,1,4,1,5
INT_0353,USR_062,PROB_077,SES_0153,2024-08-17 21:57:19,night,Saturday,-27,10,11,67,no,visual,mobile,Statistics,1,77,2,2,no,175,1,5,1,5
INT_0354,USR_003,PROB_030,SES_0759,2024-10-24 14:11:50,afternoon,Thursday,-44,12,11,35,yes,kinesthetic,tablet,Number Theory,1,235,2,3,no,347,1,5,1,3
INT_0355,USR_096,PROB_155,SES_0266,2024-10-26 03:27:34,night,Saturday,-86,6,11,44,yes,reading/writing,tablet,Trigonometry,1,272,3,3,no,371,1,5,1,5
INT_0356,USR_087,PROB_102,SES_0824,2024-09-08 02:08:08,night,Sunday,-87,7,6,32,no,auditory,mobile,Arithmetic,3,173,2,3,no,287,1,5,1,4
INT_0357,USR_061,PROB_109,SES_0023,2024-08-15 05:57:09,morning,Thursday,89,9,12,90,yes,reading/writing,desktop,Arithmetic,2,101,1,4,yes,235,1,2,1,4
INT_0358,USR_064,PROB_189,SES_0593,2024-10-16 23:35:18,night,Wednesday,-81,9,11,92,no,reading/writing,mobile,Algebra,2,185,1,2,no,336,0,3,1,3
INT_0359,USR_083,PROB_089,SES_0460,2024-10-29 13:01:10,afternoon,Tuesday,-17,11,8,90,yes,auditory,desktop,Arithmetic,3,200,4,1,no,323,1,4,0,3
INT_0360,USR_054,PROB_173,SES_0669,2024-09-16 15:51:54,afternoon,Monday,-49,10,8,66,no,visual,desktop,Calculus,2,83,1,1,no,198,1,5,1,5
INT_0361,USR_003,PROB_092,SES_0903,2024-09-03 11:43:10,morning,Tuesday,-46,12,13,34,no,kinesthetic,tablet,Geometry,3,208,1,2,no,152,1,5,1,5
INT_0362,USR_020,PROB_177,SES_0895,2024-10-05 19:42:06,evening,Saturday,90,6,12,88,no,visual,mobile,Number Theory,1,206,3,5,no,260,0,1,1,5
INT_0363,USR_021,PROB_187,SES_0300,2024-10-30 14:48:32,afternoon,Wednesday,37,11,6,49,no,kinesthetic,mobile,Geometry,3,267,1,5,no,324,0,4,1,2
INT_0364,USR_035,PROB_096,SES_0733,2024-09-23 11:40:42,morning,Monday,-28,7,13,83,no,auditory,tablet,Trigonometry,3,285,2,2,no,389,1,4,0,1
INT_0365,USR_067,PROB_018,SES_0087,2024-09-13 10:25:49,morning,Friday,-48,9,5,80,no,auditory,desktop,Algebra,2,300,2,3,no,237,1,3,1,5
INT_0366,USR_039,PROB_185,SES_0761,2024-09-10 11:00:52,morning,Tuesday,-19,10,14,48,no,reading/writing,desktop,Arithmetic,3,277,2,3,no,246,1,5,1,3
INT_0367,USR_039,PROB_022,SES_0038,2024-10-08 10:24:46,morning,Tuesday,-58,10,13,66,yes,kinesthetic,desktop,Ratios,3,243,2,1,no,162,1,3,1,4
INT_0368,USR_065,PROB_029,SES_0750,2024-08-08 11:16:40,morning,Thursday,39,8,6,36,no,visual,tablet,Mensuration,4,196,3,2,no,408,1,5,1,5
INT_0369,USR_069,PROB_153,SES_0240,2024-09-14 09:18:42,morning,Saturday,56,11,7,78,no,auditory,mobile,Ratios,3,182,2,4,yes,389,0,3,1,
INT_0370,USR_008,PROB_109,SES_0910,2024-08-17 15:13:28,afternoon,Saturday,-71,8,15,81,no,reading/writing,tablet,Number Theory,4,177,2,5,no,454,1,5,1,4
INT_0371,USR_063,PROB_183,SES_0469,2024-08-17 22:32:55,night,Saturday,45,6,8,88,no,auditory,desktop,Ratios,1,285,4,3,no,155,0,3,0,2
INT_0372,USR_048,PROB_078,SES_0302,2024-10-02 00:50:09,night,Wednesday,-54,12,14,83,yes,kinesthetic,tablet,Arithmetic,2,96,3,2,yes,209,1,5,1,5
INT_0373,USR_044,PROB_097,SES_0487,2024-10-17 04:48:08,night,Thursday,39,11,12,87,no,auditory,desktop,Ratios,3,72,3,3,no,192,0,2,1,4
INT_0374,USR_095,PROB_072,SES_0662,2024-08-12 05:45:01,morning,Monday,56,11,9,45,no,visual,mobile,Number Theory,3,188,2,1,no,235,0,2,1,5
INT_0375,USR_024,PROB_005,SES_0282,2024-08-27 07:53:45,morning,Tuesday,58,9,6,71,no,visual,tablet,Algebra,2,137,2,2,no,132,0,2,0,
INT_0376,USR_022,PROB_074,SES_0148,2024-08-24 08:49:05,morning,Saturday,-51,8,11,51,yes,kinesthetic,mobile,Algebra,1,232,1,2,yes,134,1,3,1,3
INT_0377,USR_026,PROB_062,SES_0771,2024-10-16 18:15:31,evening,Wednesday,40,12,13,79,no,kinesthetic,mobile,Ratios,1,168,2,1,yes,255,1,5,0,2
INT_0378,USR_013,PROB_064,SES_0782,2024-10-11 20:50:08,evening,Friday,-13,10,11,87,yes,auditory,mobile,Ratios,1,188,4,3,no,365,1,5,1,
INT_0379,USR_060,PROB_159,SES_0297,2024-10-23 05:00:03,morning,Wednesday,33,8,14,62,no,reading/writing,tablet,Arithmetic,3,199,3,1,yes,326,1,2,0,3
INT_0380,USR_093,PROB_143,SES_0287,2024-09-25 06:39:32,morning,Wednesday,-9,11,10,63,no,reading/writing,tablet,Arithmetic,1,219,4,1,no,265,1,1,1,1
INT_0381,USR_061,PROB_002,SES_0924,2024-08-02 21:11:26,night,Friday,52,11,12,80,no,visual,desktop,Algebra,2,278,3,3,no,309,1,5,1,3
INT_0382,USR_099,PROB_179,SES_0009,2024-08-16 14:23:59,afternoon,Friday,-41,9,5,58,no,kinesthetic,desktop,Ratios,5,99,1,3,yes,349,1,3,1,4
INT_0383,USR_091,PROB_181,SES_0621,2024-08-27 00:12:52,night,Tuesday,73,9,6,65,no,reading/writing,mobile,Statistics,4,99,3,2,no,244,0,1,0,
INT_0384,USR_034,PROB_146,SES_0877,2024-08-30 16:46:50,afternoon,Friday,-20,7,15,32,no,kinesthetic,desktop,Statistics,2,276,2,5,no,456,1,2,1,5
INT_0385,USR_036,PROB_032,SES_0697,2024-10-06 14:31:23,afternoon,Sunday,42,12,5,58,yes,reading/writing,desktop,Calculus,2,130,1,1,yes,347,1,1,1,4
INT_0386,USR_010,PROB_064,SES_0202,2024-08-22 10:19:04,morning,Thursday,70,11,6,33,no,visual,desktop,Ratios,3,265,1,1,yes,284,1,2,1,5
INT_0387,USR_100,PROB_154,SES_0635,2024-09-26 03:40:28,night,Thursday,58,6,6,37,no,reading/writing,tablet,Geometry,3,250,1,4,no,432,0,3,0,2
INT_0388,USR_038,PROB_098,SES_0412,2024-08-13 19:48:26,evening,Tuesday,-31,12,14,31,no,reading/writing,tablet,Number Theory,3,208,1,3,no,166,0,2,1,1
INT_0389,USR_092,PROB_018,SES_0608,2024-08-25 18:08:40,evening,Sunday,40,8,10,83,no,reading/writing,mobile,Arithmetic,2,85,3,1,yes,187,1,5,1,5
INT_0390,USR_100,PROB_038,SES_0151,2024-09-30 09:38:21,morning,Monday,-16,8,5,48,yes,visual,tablet,Ratios,2,100,4,3,yes,249,0,1,1,3
INT_0391,USR_089,PROB_085,SES_0873,2024-10-14 18:21:39,evening,Monday,-14,9,10,50,yes,visual,tablet,Arithmetic,3,285,1,1,yes,211,1,3,1,4
INT_0392,USR_095,PROB_097,SES_0211,2024-09-21 05:52:00,morning,Saturday,2,6,6,75,yes,visual,mobile,Mensuration,3,162,1,2,no,344,0,1,0,4
INT_0393,USR_093,PROB_045,SES_0348,2024-10-10 07:11:12,morning,Thursday,-85,7,9,42,yes,auditory,tablet,Geometry,3,136,4,1,yes,368,1,4,1,5
INT_0394,USR_056,PROB_183,SES_0067,2024-08-16 04:56:59,night,Friday,-57,12,8,54,no,kinesthetic,tablet,Number Theory,4,159,4,1,yes,386,1,3,1,4
INT_0395,USR_007,PROB_162,SES_0815,2024-09-05 04:54:32,night,Thursday,59,9,8,40,no,visual,mobile,Statistics,2,149,3,3,no,117,1,4,1,5
INT_0396,USR_092,PROB_127,SES_0486,2024-09-04 18:25:40,evening,Wednesday,59,11,5,56,yes,auditory,tablet,Arithmetic,3,151,1,2,yes,303,0,4,0,
INT_0397,USR_097,PROB_022,SES_0303,2024-09-26 16:22:14,afternoon,Thursday,59,6,12,95,no,reading/writing,tablet,Calculus,3,160,2,4,yes,178,0,1,0,2
INT_0398,USR_011,PROB_076,SES_0863,2024-10-04 16:34:41,afternoon,Friday,-70,12,9,59,yes,visual,tablet,Algebra,1,189,1,1,yes,269,1,5,1,5
INT_0399,USR_018,PROB_193,SES_0734,2024-10-09 08:00:49,morning,Wednesday,-14,8,10,81,no,visual,tablet,Statistics,2,244,4,4,yes,339,1,3,1,5
INT_0400,USR_060,PROB_185,SES_0834,2024-09-29 10:50:05,morning,Sunday,-10,12,8,84,no,reading/writing,mobile,Calculus,3,165,3,1,yes,295,1,3,1,5
INT_0401,USR_046,PROB_087,SES_0231,2024-09-23 13:43:48,afternoon,Monday,13,12,13,68,yes,visual,desktop,Algebra,4,286,1,5,no,340,1,5,1,4
INT_0402,USR_049,PROB_053,SES_0972,2024-09-20 02:34:24,night,Friday,-42,9,6,72,no,reading/writing,desktop,Mensuration,3,73,1,3,yes,212,1,4,0,4
INT_0403,USR_050,PROB_073,SES_0211,2024-08-30 09:42:33,morning,Friday,-73,9,5,77,no,auditory,tablet,Trigonometry,2,150,1,1,no,213,1,2,1,3
INT_0404,USR_027,PROB_080,SES_0443,2024-10-30 21:30:10,night,Wednesday,64,10,9,55,no,reading/writing,tablet,Arithmetic,3,51,4,2,no,201,1,3,1,4
INT_0405,USR_060,PROB_148,SES_0041,2024-08-12 09:41:56,morning,Monday,26,8,9,80,no,auditory,tablet,Arithmetic,4,95,3,3,no,224,1,3,1,5
INT_0406,USR_031,PROB_041,SES_0281,2024-10-20 17:18:42,evening,Sunday,-73,11,8,93,no,visual,tablet,Geometry,2,243,1,3,yes,244,1,3,1,3
INT_0407,USR_089,PROB_173,SES_0768,2024-09-29 12:21:47,afternoon,Sunday,12,12,8,80,yes,kinesthetic,mobile,Probability,4,133,3,2,no,345,0,3,1,3
INT_0408,USR_036,PROB_042,SES_0175,2024-08-03 19:06:11,evening,Saturday,-15,6,13,80,yes,visual,desktop,Mensuration,4,89,2,1,no,168,1,4,1,
INT_0409,USR_082,PROB_134,SES_0657,2024-10-24 22:42:57,night,Thursday,-64,9,9,86,yes,visual,mobile,Trigonometry,3,246,1,1,no,421,0,1,0,
INT_0410,USR_025,PROB_175,SES_0686,2024-08-09 07:56:06,morning,Friday,80,7,7,35,no,visual,tablet,Ratios,3,193,2,3,no,404,0,2,0,1
INT_0411,USR_002,PROB_103,SES_0670,2024-09-10 00:24:13,night,Tuesday,27,7,6,65,no,kinesthetic,mobile,Geometry,2,276,1,1,no,423,1,2,1,5
INT_0412,USR_022,PROB_065,SES_0983,2024-08-13 19:20:40,evening,Tuesday,88,9,15,47,yes,kinesthetic,desktop,Calculus,5,67,2,3,no,306,0,3,0,5
INT_0413,USR_030,PROB_006,SES_0632,2024-08-16 09:15:47,morning,Friday,19,12,8,40,yes,kinesthetic,tablet,Mensuration,2,101,1,1,yes,302,1,4,1,4
INT_0414,USR_036,PROB_082,SES_0660,2024-08-06 16:50:26,afternoon,Tuesday,75,12,9,33,yes,kinesthetic,tablet,Arithmetic,4,102,2,4,no,262,0,3,1,3
INT_0415,USR_042,PROB_047,SES_0453,2024-10-20 00:04:55,night,Sunday,35,6,8,36,no,auditory,mobile,Probability,2,73,1,2,no,179,0,2,1,2
INT_0416,USR_026,PROB_063,SES_0435,2024-08-23 19:15:19,evening,Friday,-17,10,12,55,yes,reading/writing,mobile,Ratios,1,151,2,2,no,134,1,4,1,4
INT_0417,USR_098,PROB_098,SES_0438,2024-08-11 09:38:34,morning,Sunday,-51,10,7,62,no,kinesthetic,tablet,Mensuration,1,146,2,2,yes,140,1,3,1,
INT_0418,USR_065,PROB_187,SES_0743,2024-09-17 15:25:59,afternoon,Tuesday,16,9,10,79,no,visual,tablet,Algebra,2,285,1,5,yes,323,1,5,1,4
INT_0419,USR_091,PROB_126,SES_0651,2024-10-28 11:44:03,morning,Monday,76,9,11,61,yes,visual,tablet,Algebra,4,228,3,1,no,261,1,2,0,3
INT_0420,USR_021,PROB_004,SES_0120,2024-08-12 20:45:58,evening,Monday,8,9,14,40,no,auditory,tablet,Probability,4,262,2,3,no,365,0,4,1,4
INT_0421,USR_094,PROB_023,SES_0112,2024-10-21 18:49:51,evening,Monday,-2,12,7,64,no,reading/writing,desktop,Mensuration,2,51,4,4,yes,223,0,3,1,4
INT_0422,USR_022,PROB_046,SES_0384,2024-08-24 22:08:12,night,Saturday,34,7,13,44,no,auditory,mobile,Arithmetic,1,65,3,4,yes,158,1,5,1,3
INT_0423,USR_082,PROB_043,SES_0082,2024-09-07 02:24:07,night,Saturday,-20,6,10,33,no,reading/writing,tablet,Geometry,3,52,1,3,yes,270,1,5,0,1
INT_0424,USR_078,PROB_134,SES_0986,2024-09-04 15:30:48,afternoon,Wednesday,-4,10,11,73,no,kinesthetic,tablet,Arithmetic,3,290,2,2,no,600,1,5,1,
INT_0425,USR_090,PROB_103,SES_0743,2024-08-18 00:38:07,night,Sunday,45,8,8,77,no,reading/writing,desktop,Trigonometry,2,219,1,5,no,226,1,1,1,
INT_0426,USR_095,PROB_084,SES_0695,2024-09-26 07:38:31,morning,Thursday,12,11,14,40,yes,reading/writing,desktop,Geometry,2,237,2,3,no,232,1,5,1,2
INT_0427,USR_064,PROB_023,SES_0309,2024-10-26 17:55:29,evening,Saturday,-47,9,6,91,no,auditory,mobile,Arithmetic,2,93,3,3,yes,280,1,5,1,5
INT_0428,USR_099,PROB_072,SES_0226,2024-09-02 21:30:57,night,Monday,81,6,15,47,no,reading/writing,mobile,Ratios,4,273,1,2,no,328,0,2,1,4
INT_0429,USR_084,PROB_165,SES_0804,2024-10-11 13:51:14,afternoon,Friday,-33,8,6,67,yes,visual,tablet,Number Theory,2,289,1,5,no,347,0,2,1,3
INT_0430,USR_076,PROB_138,SES_0195,2024-09-19 13:20:49,afternoon,Thursday,3,12,15,46,no,auditory,mobile,Trigonometry,2,52,2,2,yes,221,1,5,1,5
INT_0431,USR_019,PROB_192,SES_0682,2024-10-29 01:38:20,night,Tuesday,-11,10,6,65,no,reading/writing,desktop,Arithmetic,3,176,1,5,yes,162,1,3,1,5
INT_0432,USR_029,PROB_180,SES_0754,2024-08-07 05:54:31,morning,Wednesday,10,8,15,50,no,reading/writing,tablet,Trigonometry,4,223,2,1,yes,571,0,3,0,3
INT_0433,USR_071,PROB_101,SES_0100,2024-08-17 10:48:50,morning,Saturday,58,12,5,68,no,auditory,desktop,Probability,2,163,3,1,yes,213,1,5,1,
INT_0434,USR_093,PROB_148,SES_0105,2024-10-26 04:24:27,night,Saturday,83,12,7,37,yes,reading/writing,mobile,Algebra,3,80,4,3,no,275,1,4,1,
INT_0435,USR_031,PROB_102,SES_0501,2024-09-08 22:38:11,night,Sunday,77,11,11,41,no,reading/writing,tablet,Calculus,3,144,1,1,yes,452,1,5,1,5
INT_0436,USR_062,PROB_071,SES_0711,2024-08-13 18:11:24,evening,Tuesday,33,11,11,68,no,visual,tablet,Geometry,2,232,4,3,yes,209,1,1,1,5
INT_0437,USR_063,PROB_017,SES_0532,2024-10-14 17:45:52,evening,Monday,76,6,8,45,yes,auditory,mobile,Statistics,1,164,3,1,yes,149,1,3,1,2
INT_0438,USR_016,PROB_130,SES_0306,2024-09-16 17:10:27,evening,Monday,78,6,8,68,yes,kinesthetic,desktop,Statistics,2,163,1,2,yes,371,1,5,1,5
INT_0439,USR_085,PROB_012,SES_0243,2024-08-05 06:09:19,morning,Monday,-35,7,14,57,no,kinesthetic,mobile,Number Theory,2,158,1,1,yes,255,1,4,0,2
INT_0440,USR_089,PROB_037,SES_0549,2024-08-27 02:40:46,night,Tuesday,-22,11,15,54,no,auditory,tablet,Probability,2,130,4,2,yes,305,1,2,0,2
INT_0441,USR_009,PROB_085,SES_0656,2024-08-12 11:58:21,morning,Monday,-21,7,8,65,yes,reading/writing,mobile,Trigonometry,5,293,1,5,yes,383,1,3,1,4
INT_0442,USR_090,PROB_147,SES_0887,2024-09-06 17:17:38,evening,Friday,-65,6,7,70,no,reading/writing,mobile,Ratios,2,256,3,5,no,378,1,5,1,1
INT_0443,USR_066,PROB_183,SES_0160,2024-10-24 04:09:24,night,Thursday,55,11,9,36,no,kinesthetic,desktop,Arithmetic,3,223,2,3,yes,499,1,5,1,4
INT_0444,USR_092,PROB_059,SES_0313,2024-10-21 02:19:26,night,Monday,-10,12,6,40,yes,auditory,mobile,Probability,3,197,1,3,no,275,1,5,1,4
INT_0445,USR_094,PROB_035,SES_0492,2024-10-03 16:43:43,afternoon,Thursday,46,11,6,81,yes,auditory,desktop,Algebra,3,232,2,2,yes,434,1,4,1,5
INT_0446,USR_088,PROB_156,SES_0044,2024-10-17 14:10:43,afternoon,Thursday,44,7,7,39,no,auditory,desktop,Ratios,3,293,1,2,yes,410,1,3,1,5
INT_0447,USR_016,PROB_075,SES_0307,2024-10-01 09:16:13,morning,Tuesday,-90,11,15,80,yes,kinesthetic,desktop,Statistics,4,261,3,5,no,527,1,2,0,1
INT_0448,USR_014,PROB_002,SES_0359,2024-08-24 12:22:00,afternoon,Saturday,-65,9,12,55,yes,auditory,tablet,Geometry,4,283,2,1,no,479,0,2,0,1
INT_0449,USR_035,PROB_028,SES_0450,2024-10-24 14:10:08,afternoon,Thursday,0,11,11,30,no,auditory,mobile,Arithmetic,2,122,1,2,no,230,1,3,1,5
INT_0450,USR_035,PROB_031,SES_0432,2024-10-02 17:31:51,evening,Wednesday,84,11,7,71,no,reading/writing,desktop,Trigonometry,4,83,1,1,yes,227,0,2,1,4
INT_0451,USR_044,PROB_110,SES_1000,2024-10-16 23:00:27,night,Wednesday,32,8,9,92,yes,reading/writing,mobile,Number Theory,3,89,3,1,yes,224,0,2,1,3
INT_0452,USR_061,PROB_181,SES_0802,2024-08-14 22:46:32,night,Wednesday,66,7,8,49,yes,auditory,tablet,Algebra,3,120,4,5,no,373,1,2,0,1
INT_0453,USR_082,PROB_060,SES_0228,2024-09-13 13:30:03,afternoon,Friday,40,9,15,36,yes,kinesthetic,tablet,Mensuration,3,291,2,2,yes,360,0,1,0,1
INT_0454,USR_061,PROB_072,SES_0931,2024-10-17 03:27:11,night,Thursday,-26,9,10,72,yes,visual,desktop,Algebra,1,224,2,4,yes,271,1,4,1,4
INT_0455,USR_084,PROB_071,SES_0216,2024-10-14 12:05:56,afternoon,Monday,-63,7,15,45,yes,auditory,mobile,Calculus,3,286,1,5,no,582,0,2,1,2
INT_0456,USR_017,PROB_050,SES_0429,2024-10-10 22:16:57,night,Thursday,53,8,10,87,no,visual,tablet,Geometry,2,173,2,5,no,262,0,3,1,1
INT_0457,USR_073,PROB_016,SES_0814,2024-10-28 06:47:52,morning,Monday,11,9,15,95,no,auditory,tablet,Statistics,3,148,2,2,no,418,0,1,1,1
INT_0458,USR_066,PROB_117,SES_0516,2024-10-30 23:33:16,night,Wednesday,-13,12,8,67,no,visual,mobile,Arithmetic,2,61,2,1,no,206,1,3,0,1
INT_0459,USR_032,PROB_054,SES_0548,2024-08-15 00:41:22,night,Thursday,71,10,10,71,yes,kinesthetic,desktop,Probability,3,154,3,1,no,303,1,1,1,4
INT_0460,USR_033,PROB_005,SES_0551,2024-10-24 18:06:46,evening,Thursday,86,9,15,62,no,auditory,tablet,Arithmetic,2,133,1,2,no,239,1,3,1,4
INT_0461,USR_062,PROB_024,SES_0508,2024-08-24 14:11:52,afternoon,Saturday,-45,7,14,92,no,auditory,desktop,Mensuration,4,55,2,4,no,198,1,3,0,2
INT_0462,USR_083,PROB_104,SES_0103,2024-10-07 04:46:48,night,Monday,-87,10,6,78,no,visual,mobile,Algebra,3,83,1,1,yes,198,1,1,1,3
INT_0463,USR_095,PROB_087,SES_0874,2024-10-30 02:12:08,night,Wednesday,32,12,14,86,no,kinesthetic,tablet,Calculus,4,89,1,2,yes,165,1,1,0,1
INT_0464,USR_054,PROB_037,SES_0002,2024-08-29 00:14:27,night,Thursday,8,7,10,66,yes,reading/writing,desktop,Geometry,2,175,1,1,yes,275,1,4,1,5
INT_0465,USR_011,PROB_012,SES_0620,2024-08-20 05:27:33,morning,Tuesday,-5,10,7,84,yes,kinesthetic,desktop,Mensuration,4,139,3,1,no,323,0,2,1,4
INT_0466,USR_020,PROB_200,SES_0672,2024-08-19 10:09:24,morning,Monday,24,11,12,38,yes,reading/writing,desktop,Mensuration,2,87,1,5,yes,318,1,3,1,4
INT_0467,USR_082,PROB_086,SES_0142,2024-10-23 07:24:26,morning,Wednesday,50,9,13,93,no,auditory,tablet,Geometry,1,198,3,2,no,71,1,3,0,1
INT_0468,USR_003,PROB_093,SES_0572,2024-09-30 04:58:07,night,Monday,-75,8,10,47,yes,auditory,desktop,Trigonometry,3,112,1,1,no,225,0,3,0,3
INT_0469,USR_055,PROB_096,SES_0056,2024-10-29 03:42:37,night,Tuesday,-72,9,14,50,yes,kinesthetic,mobile,Geometry,1,112,1,2,no,201,0,1,1,4
INT_0470,USR_039,PROB_121,SES_0422,2024-09-13 14:50:41,afternoon,Friday,87,6,9,44,yes,visual,desktop,Probability,3,178,1,2,no,248,1,4,1,5
INT_0471,USR_040,PROB_182,SES_0233,2024-09-24 05:17:05,morning,Tuesday,43,9,7,57,no,visual,mobile,Trigonometry,1,97,3,5,no,199,0,3,1,3
INT_0472,USR_049,PROB_043,SES_0056,2024-09-17 20:27:12,evening,Tuesday,-21,6,6,39,no,kinesthetic,mobile,Arithmetic,3,122,1,1,yes,262,0,4,0,4
INT_0473,USR_031,PROB_069,SES_0088,2024-10-12 18:02:36,evening,Saturday,33,6,5,70,yes,kinesthetic,mobile,Ratios,5,242,1,2,yes,292,1,5,1,3
INT_0474,USR_053,PROB_190,SES_0516,2024-08-13 16:51:49,afternoon,Tuesday,-52,6,14,78,no,visual,tablet,Probability,1,88,3,1,no,122,1,3,1,3
INT_0475,USR_092,PROB_042,SES_0987,2024-10-04 16:46:38,afternoon,Friday,76,10,10,87,no,kinesthetic,tablet,Ratios,2,209,3,2,no,283,1,4,1,3
INT_0476,USR_020,PROB_146,SES_0643,2024-10-03 03:51:00,night,Thursday,-54,12,9,41,no,reading/writing,tablet,Probability,2,289,1,1,no,336,1,2,1,5
INT_0477,USR_033,PROB_196,SES_0898,2024-09-26 20:59:08,evening,Thursday,-59,10,12,35,no,kinesthetic,tablet,Trigonometry,1,269,2,3,no,350,1,4,1,
INT_0478,USR_053,PROB_130,SES_0461,2024-09-03 21:02:39,night,Tuesday,74,6,8,31,yes,visual,tablet,Trigonometry,2,90,2,4,yes,273,1,4,1,4
INT_0479,USR_060,PROB_028,SES_0088,2024-08-24 23:06:58,night,Saturday,11,12,11,55,no,visual,tablet,Ratios,3,204,2,3,no,354,0,1,0,2
INT_0480,USR_041,PROB_146,SES_0033,2024-10-16 12:03:59,afternoon,Wednesday,2,12,11,90,yes,auditory,mobile,Trigonometry,3,119,1,1,yes,305,1,2,1,4
INT_0481,USR_028,PROB_172,SES_0915,2024-09-03 05:53:03,morning,Tuesday,-67,9,10,68,yes,kinesthetic,tablet,Calculus,3,171,2,3,no,413,1,5,1,5
INT_0482,USR_077,PROB_051,SES_0080,2024-10-25 18:39:09,evening,Friday,-8,11,10,31,yes,reading/writing,mobile,Calculus,3,271,2,3,no,418,0,3,1,4
INT_0483,USR_082,PROB_116,SES_0655,2024-10-14 03:02:13,night,Monday,-42,9,13,51,no,auditory,tablet,Arithmetic,2,293,1,3,no,438,1,4,1,5
INT_0484,USR_016,PROB_180,SES_0512,2024-10-23 14:26:26,afternoon,Wednesday,0,8,13,84,no,kinesthetic,mobile,Probability,2,167,2,1,no,375,1,4,1,4
INT_0485,USR_037,PROB_180,SES_0636,2024-08-13 02:51:53,night,Tuesday,-64,6,15,32,no,reading/writing,mobile,Calculus,2,241,3,5,yes,160,1,4,0,2
INT_0486,USR_029,PROB_199,SES_0466,2024-10-10 12:07:12,afternoon,Thursday,30,6,10,89,no,reading/writing,mobile,Ratios,3,250,1,1,no,266,0,4,1,2
INT_0487,USR_054,PROB_009,SES_0016,2024-08-04 04:50:23,night,Sunday,42,12,14,70,yes,reading/writing,mobile,Statistics,4,299,2,3,yes,329,0,4,0,2
INT_0488,USR_094,PROB_045,SES_0413,2024-09-10 16:10:27,afternoon,Tuesday,-31,6,7,94,yes,reading/writing,desktop,Mensuration,2,264,2,5,yes,126,0,2,1,1
INT_0489,USR_091,PROB_140,SES_0943,2024-08-11 18:24:01,evening,Sunday,-57,9,15,75,yes,auditory,tablet,Arithmetic,2,187,3,3,no,69,1,3,0,
INT_0490,USR_019,PROB_161,SES_0024,2024-10-21 18:55:06,evening,Monday,-62,9,14,45,yes,kinesthetic,tablet,Probability,1,73,1,4,no,179,0,1,1,3
INT_0491,USR_081,PROB_020,SES_0216,2024-10-27 13:24:56,afternoon,Sunday,-10,11,12,50,yes,visual,mobile,Number Theory,3,211,2,1,no,355,1,4,1,3
INT_0492,USR_095,PROB_066,SES_0949,2024-08-16 06:38:01,morning,Friday,47,6,13,95,no,auditory,tablet,Geometry,1,280,1,1,yes,246,1,5,1,5
INT_0493,USR_045,PROB_182,SES_0565,2024-10-23 09:29:47,morning,Wednesday,36,9,13,81,no,kinesthetic,mobile,Arithmetic,2,225,3,3,no,177,0,3,1,2
INT_0494,USR_093,PROB_125,SES_0444,2024-09-27 13:38:47,afternoon,Friday,-21,12,10,43,no,reading/writing,mobile,Number Theory,4,140,2,3,yes,416,0,1,1,2
INT_0495,USR_083,PROB_136,SES_0361,2024-09-20 00:07:11,night,Friday,-8,9,7,75,yes,auditory,desktop,Ratios,2,145,1,1,yes,234,1,5,1,4
INT_0496,USR_030,PROB_144,SES_0068,2024-09-19 09:38:13,morning,Thursday,44,7,6,65,no,visual,desktop,Trigonometry,3,224,3,1,yes,124,0,4,1,3
INT_0497,USR_016,PROB_116,SES_0176,2024-10-16 10:37:24,morning,Wednesday,-30,10,5,66,yes,visual,tablet,Mensuration,2,83,3,2,no,160,1,1,1,
INT_0498,USR_013,PROB_107,SES_0741,2024-09-08 08:20:48,morning,Sunday,-2,9,6,70,no,visual,tablet,Mensuration,1,228,4,2,no,205,1,5,1,4
